2025-06-02 02:32:24.349 | INFO     | __main__:scrape_products:40 - Scraped product 28: 15.6 inch Laptop Computer,16GB RAM LPDDR4 512GB SDD Portable Laptop Computer Cerelon N5095 Processor FHD 1920 * 1080 Laptop PC with Touch ID, WiFi5, BT4.2, USB 3.0
2025-06-02 02:32:24.354 | INFO     | __main__:scrape_products:40 - Scraped product 29: 16 Inch Gaming Laptop, Laptop Computer 2025 Windows 11 Pro, 16GB RAM 1TB SSD, Intel 12th Gen N100 Processor(up to 3.4GHz), Backlit Keyboard, Fingerprint Unlock, FHD 1920 * 1200
2025-06-02 02:32:24.359 | INFO     | __main__:scrape_products:40 - Scraped product 30: Gaming Laptop, 2025 Windows Laptops Computer, 16 Inch Windows 11 Pro Lap Top, 16GB RAM 1TB SSD, N150 Processor(up to 3.6GHz), Backlit Keyboard
2025-06-02 02:32:24.362 | INFO     | __main__:scrape_products:40 - Scraped product 31: Gaming Laptop,15.6 inch Traditional Laptops N4000, Laptop with 8 GB RAM, 256 GB SSD, Slim Light Netbook WiFi5 Mini-HDMI 180 Angle Opening BT5.0, USB3.0, Thin and Light Laptop For Student Business Work
2025-06-02 02:32:24.366 | INFO     | __main__:scrape_products:40 - Scraped product 32: ASUS ROG Strix G16 Gaming Laptop, 16” Nebula Display 16:10 QHD 240Hz, GeForce RTX 4060, Intel® Core™ i9-14900HX, 16GB DDR5-5600, 1TB PCIe SSD, Wi-Fi 6E, Windows 11, G614JVR-ES94
2025-06-02 02:32:24.367 | WARNING  | amazon_scraper:extract_product_info:51 - Could not find product URL
2025-06-02 02:32:24.368 | WARNING  | amazon_scraper:extract_product_info:51 - Could not find product URL
2025-06-02 02:32:31.476 | INFO     | __main__:scrape_products:29 - Scraping page 3
2025-06-02 02:32:31.499 | WARNING  | amazon_scraper:extract_product_info:51 - Could not find product URL
2025-06-02 02:32:31.500 | WARNING  | amazon_scraper:extract_product_info:51 - Could not find product URL
2025-06-02 02:32:31.502 | INFO     | __main__:scrape_products:40 - Scraped product 33: ASUS ROG Strix SCAR 18 (2025) Gaming Laptop, 18” ROG Nebula HDR 16:10 2.5K 240Hz/3ms, NVIDIA GeForce RTX 5090, Intel Core Ultra 9 275HX, 32GB DDR5, 2TB PCIe Gen 4 SSD, Wi-Fi 7, Win 11 Pro, G835LX-XS97
2025-06-02 02:32:31.506 | INFO     | __main__:scrape_products:40 - Scraped product 34: ASUS TUF Gaming A14 Copilot+ PC Gaming Laptop, 14” WQXGA 16:10 165Hz Display, AMD Ryzen™ AI 7 8845HS, NVIDIA® GeForce RTX™ 4050, 16GB LPDDR5X, 512GB PCIe® Gen 4.0 SSD, Wi-Fi 6E, Windows 11 Home
2025-06-02 02:32:31.509 | INFO     | __main__:scrape_products:40 - Scraped product 35: ASUS TUF Gaming A16 (2024) Copilot+ PC Gaming Laptop, 16” 16:10 165Hz Display, AMD Ryzen AI 9 HX 370, NVIDIA® GeForce RTX 4060, 32GB LPDDR5X, 1TB PCIe Gen 4.0 SSD, Wi-Fi 6E, Windows 11, FA608WV-AB96
2025-06-02 02:32:31.514 | INFO     | __main__:scrape_products:40 - Scraped product 36: Acer Nitro V Gaming Laptop | Intel Core i9-13900H Processor | NVIDIA GeForce RTX 4060 Laptop GPU | 15.6" FHD IPS 144Hz Display | 32GB DDR5 | 1TB Gen 4 SSD | WiFi 6 | Backlit KB | ANV15-51-92XK
2025-06-02 02:32:31.517 | INFO     | __main__:scrape_products:40 - Scraped product 37: 15.6 Inch Laptop, Laptops 24GB 1TB SSD, Laptop Computer N5095, Gaming Laptop, Traditional Laptop Computers 180 Angle Opening, Lap top Fingerprint Unlock Backlit Keyboard, 1920X1080 FHD IPS MINI-HDMI
2025-06-02 02:32:31.521 | INFO     | __main__:scrape_products:40 - Scraped product 38: Laptop 15.6-in AMD Ryzen 7-5700U Windows Laptop 16GB SO-DIMM DDR4 512GB NVMe SSD Numeric Input HDMI USB3.2 Type-C 3.5mm Audio Webcam WiFi 6 Windows 11 Office Laptops AMD Laptops
2025-06-02 02:32:31.524 | INFO     | __main__:scrape_products:40 - Scraped product 39: Acer Nitro 16 Gaming Laptop | AMD Ryzen 9 7940HS Octa-Core CPU | NVIDIA GeForce RTX 4070 Laptop GPU | 16" WQXGA 165Hz IPS Display | 16GB DDR5 | 1TB Gen 4 SSD | Wi-Fi 6E | RGB Backlit KB | AN16-41-R5KC
2025-06-02 02:32:31.528 | INFO     | __main__:scrape_products:40 - Scraped product 40: Gaming Laptop,15.6 Inch Laptop Computer,16GB RAM 1TB SSD,AMD Ryzen 5 7430U 6C/12T Processor(up to 4.3Ghz),AMD Radeon Graphics,15.6”FHD 1920 * 1080 Display,WiFi 5,BT5.0,Backlit Keyboard
2025-06-02 02:32:31.528 | WARNING  | amazon_scraper:extract_product_info:51 - Could not find product URL
2025-06-02 02:32:31.529 | WARNING  | amazon_scraper:extract_product_info:51 - Could not find product URL
2025-06-02 02:32:31.533 | INFO     | __main__:scrape_products:40 - Scraped product 41: 16 Inch Laptop Computer, Gaming Laptop, 16GB RAM 512GB SSD, N95 Processor, FHD 1920 * 1200, 180 Angle Open, Backlit Keyboard, Windows 11 Pro, Fingerprint Unlock, BT 4.2, WiFi 5
2025-06-02 02:32:31.537 | INFO     | __main__:scrape_products:40 - Scraped product 42: MSI Katana 15 15.6" 144Hz FHD Gaming Laptop, Intel Core i7-13620H up to 4.9GHz, 16GB RAM DDR5 5200MHz, 1TB NVMe SSD, NVIDIA RTX 4060 8GB GDDR6, Windows 11
2025-06-02 02:32:31.539 | INFO     | __main__:scrape_products:40 - Scraped product 43: Lenovo Legion Pro 7i Gen 10 16" Gaming Laptop (2025 Model) Intel Core Ultra 9 275HX 24C, NVIDIA GeForce RTX 5080 16GB, 64GB RAM, 2TB (1TB+1TB) NVMe SSD, 16.0" WQXGA OLED 500 nits 240Hz, Windows 11 Pro
2025-06-02 02:32:31.543 | INFO     | __main__:scrape_products:40 - Scraped product 44: Acer Predator Helios Neo 18 Gaming Laptop | Intel Core i7-14700HX | NVIDIA GeForce RTX 4070 | 18" WQXGA 2560 x 1600 165Hz G-SYNC Display | 16GB DDR5 | 1TB Gen 4 SSD | Killer Wi-Fi 6E | PHN18-71-77JT
2025-06-02 02:32:31.547 | INFO     | __main__:scrape_products:40 - Scraped product 45: MSI Cyborg 14" 144Hz Gaming Laptop- Intel Core i7-13620H-NVIDIA GeForce RTX 4060-Backlit-Window 11 Home-W/Cloth (32GB RAM |1TB PCIE SSD)
2025-06-02 02:32:31.550 | INFO     | __main__:scrape_products:40 - Scraped product 46: ASUS TUF Dash 15 (2021) Ultra Slim Gaming Laptop, 15.6â€ 144Hz FHD, GeForce RTX 3050 Ti, Intel Core i7-11370H, 8GB DDR4, 512GB PCIe NVMe SSD, Wi-Fi 6, Windows 10, Eclipse Grey Color, TUF516PE-AB73
2025-06-02 02:32:31.554 | INFO     | __main__:scrape_products:40 - Scraped product 47: Acer Nitro 5 AN515-58-725A Gaming Laptop | Intel Core i7-12700H | NVIDIA GeForce RTX 3060 GPU | 15.6" FHD 144Hz 3ms IPS Display | 16GB DDR4 | 512GB Gen 4 SSD | Killer Wi-Fi 6 | RGB Keyboard
2025-06-02 02:32:31.558 | INFO     | __main__:scrape_products:40 - Scraped product 48: 15.6 inch Laptop, Gaming Laptop N4000 Processor, Laptop Computer with 8GB LPDDR4 256GB SSD, Silver Traditional Laptop Computers for Work & Study, 180° Angle Open, Dual-Band WiFi, Long Battery Life
2025-06-02 02:32:31.559 | WARNING  | amazon_scraper:extract_product_info:51 - Could not find product URL
2025-06-02 02:32:31.559 | WARNING  | amazon_scraper:extract_product_info:51 - Could not find product URL
2025-06-02 02:32:38.200 | INFO     | __main__:scrape_products:29 - Scraping page 4
2025-06-02 02:32:38.222 | WARNING  | amazon_scraper:extract_product_info:51 - Could not find product URL
2025-06-02 02:32:38.223 | WARNING  | amazon_scraper:extract_product_info:51 - Could not find product URL
2025-06-02 02:32:38.226 | INFO     | __main__:scrape_products:40 - Scraped product 49: ACEMAGIC 2025 Laptop, Laptop with AMD Ryzen 7 5700U (8C/16T, Up to 4.3GHz), 16GB RAM 512GB NVMe SSD Laptop Computer, Radeon RX Vega 8 Graphics, 16.1-inch FHD Display, WiFi 6, Backlit KB
